J-Date,Date,Weekday,Symbol,Open
1389-12-03,2/22/2011,Tuesday,سکه امامی,3665000
1389-12-04,2/23/2011,Wednesday,سکه امامی,3700000
1389-12-06,2/25/2011,Friday,سکه امامی,3770000
1389-12-07,2/26/2011,Saturday,سکه امامی,3800000
1389-12-08,2/27/2011,Sunday,سکه امامی,3840000
1389-12-09,2/28/2011,Monday,سکه امامی,3970000
1389-12-11,3/2/2011,Wednesday,سکه امامی,3950000
1389-12-13,3/4/2011,Friday,سکه امامی,3950000
1389-12-14,3/5/2011,Saturday,سکه امامی,3900000
1389-12-15,3/6/2011,Sunday,سکه امامی,3850000
1389-12-16,3/7/2011,Monday,سکه امامی,3850000
1389-12-17,3/8/2011,Tuesday,سکه امامی,3850000
1389-12-18,3/9/2011,Wednesday,سکه امامی,3870000
1389-12-20,3/11/2011,Friday,سکه امامی,3880000
1389-12-21,3/12/2011,Saturday,سکه امامی,3840000
1389-12-22,3/13/2011,Sunday,سکه امامی,3830000
1389-12-23,3/14/2011,Monday,سکه امامی,3880000
1389-12-24,3/15/2011,Tuesday,سکه امامی,3860000
1389-12-25,3/16/2011,Wednesday,سکه امامی,3850000
1390-01-13,4/2/2011,Saturday,سکه امامی,3930000
1390-01-15,4/4/2011,Monday,سکه امامی,3930000
1390-01-19,4/8/2011,Friday,سکه امامی,4020000
1390-01-20,4/9/2011,Saturday,سکه امامی,4040000
1390-01-21,4/10/2011,Sunday,سکه امامی,4060000
1390-01-22,4/11/2011,Monday,سکه امامی,4140000
1390-01-23,4/12/2011,Tuesday,سکه امامی,4140000
1390-01-24,4/13/2011,Wednesday,سکه امامی,4190000
1390-01-26,4/15/2011,Friday,سکه امامی,4200000
1390-01-27,4/16/2011,Saturday,سکه امامی,4300000
1390-01-28,4/17/2011,Sunday,سکه امامی,4300000
1390-01-29,4/18/2011,Monday,سکه امامی,4370000
1390-01-30,4/19/2011,Tuesday,سکه امامی,4450000
1390-01-31,4/20/2011,Wednesday,سکه امامی,4300000
1390-02-02,4/22/2011,Friday,سکه امامی,4200000
1390-02-03,4/23/2011,Saturday,سکه امامی,4280000
1390-02-04,4/24/2011,Sunday,سکه امامی,4350000
1390-02-05,4/25/2011,Monday,سکه امامی,4250000
1390-02-06,4/26/2011,Tuesday,سکه امامی,4180000
1390-02-07,4/27/2011,Wednesday,سکه امامی,4160000
1390-02-09,4/29/2011,Friday,سکه امامی,4230000
1390-02-10,4/30/2011,Saturday,سکه امامی,4250000
1390-02-11,5/1/2011,Sunday,سکه امامی,4250000
1390-02-12,5/2/2011,Monday,سکه امامی,4230000
1390-02-13,5/3/2011,Tuesday,سکه امامی,4230000
1390-02-14,5/4/2011,Wednesday,سکه امامی,4220000
1390-02-17,5/7/2011,Saturday,سکه امامی,4200000
1390-02-18,5/8/2011,Sunday,سکه امامی,4200000
1390-02-19,5/9/2011,Monday,سکه امامی,4210000
1390-02-20,5/10/2011,Tuesday,سکه امامی,4250000
1390-02-21,5/11/2011,Wednesday,سکه امامی,4270000
1390-02-23,5/13/2011,Friday,سکه امامی,4250000
1390-02-24,5/14/2011,Saturday,سکه امامی,4220000
1390-02-25,5/15/2011,Sunday,سکه امامی,4220000
1390-02-26,5/16/2011,Monday,سکه امامی,4200000
1390-02-27,5/17/2011,Tuesday,سکه امامی,4215000
1390-02-28,5/18/2011,Wednesday,سکه امامی,4200000
1390-02-30,5/20/2011,Friday,سکه امامی,4210000
1390-02-31,5/21/2011,Saturday,سکه امامی,4230000
1390-03-01,5/22/2011,Sunday,سکه امامی,4370000
1390-03-02,5/23/2011,Monday,سکه امامی,4380000
1390-03-03,5/24/2011,Tuesday,سکه امامی,4350000
